domain,n_posts,total_engagement,avg_engagement,median_engagement
www.cesd.us,260,3343237,12858.603846153846,10.0
www.sacaeagles.com,198,1109069,5601.358585858586,2937.0
www.kentoncounty.org,796,922592,1159.035175879397,288.0
www.pasadenaisd.org,398,398984,1002.4723618090452,98.0
brighton.com,398,230368,578.8140703517588,289.0
www.east-cleveland.k12.oh.us,596,218893,367.27013422818794,162.0
www.cherokee.org,398,156270,392.63819095477385,256.5
www.sdhc.k12.fl.us,398,143726,361.1206030150754,168.0
www.uh.edu,398,143571,360.73115577889445,216.0
www.communityisd.org,798,140657,176.26190476190476,36.0
www.pasco.k12.fl.us,398,136581,343.1683417085427,217.0
www.dallasisd.org,798,132355,165.85839598997492,60.0
hn.k12.oh.us,600,127263,212.105,26.5
www.nisd.net,398,124095,311.7964824120603,223.5
www.neisd.net,798,120430,150.91478696741854,84.0
www.okhistory.org,398,115629,290.5251256281407,229.0
www.mnps.org,798,115219,144.38471177944862,82.0
www.mcpss.com,398,101024,253.82914572864323,123.0
www.rcps.info,798,88465,110.85839598997494,62.5
www.fcps.edu,405,88394,218.2567901234568,92.0
www.cfisd.net,798,86960,108.97243107769424,61.5
www.aldineisd.org,798,84663,106.09398496240601,55.5
www.leonschools.net,398,82807,208.05778894472363,76.0
www.ambridge.k12.pa.us,401,80604,201.0074812967581,7.0
www.sumnerschools.org,399,79918,200.29573934837092,109.0
www.henricoschools.us,798,78808,98.75689223057644,42.0
www.cms.k12.nc.us,398,78622,197.5427135678392,106.0
www.rsdmo.org,398,78130,196.30653266331657,130.0
www.greenville.k12.sc.us,398,77468,194.643216080402,97.0
www.polk-fl.net,398,75435,189.53517587939697,111.5
www.killeenisd.org,798,75104,94.11528822055138,40.5
www.conroeisd.net,398,73705,185.18844221105527,63.0
www.psjaisd.us,798,71641,89.77568922305764,54.5
www.bcps.org,398,71345,179.25879396984925,122.5
www.alpineschools.org,810,69352,85.61975308641975,54.0
www.scsk12.org,798,69306,86.84962406015038,42.0
www.nisdtx.org,399,68721,172.2330827067669,70.0
romaisd.com,798,66849,83.77067669172932,45.0
www.neshaminy.k12.pa.us,398,66456,166.9748743718593,70.0
www.lfcisd.net,398,66325,166.64572864321607,104.5
www.treynorschools.org,398,66034,165.9145728643216,81.0
www.ecisd.us,798,63951,80.1390977443609,35.0
www.tacomaschools.org,398,63667,159.96733668341707,72.5
schools.nyc.gov,398,62793,157.7713567839196,87.0
www.pvsd.org,398,62170,156.20603015075378,204.0
www.mychesterfieldschools.com,798,60842,76.24310776942356,29.0
www.spring-ford.net,398,60551,152.13819095477388,95.0
www.harnett.k12.nc.us,400,59896,149.74,81.0
www.aacps.org,398,59073,148.4246231155779,56.0
www.shawnee.k12.ok.us,798,58979,73.90852130325814,71.5
www.saisd.net,798,58621,73.45989974937343,40.0
www.generalmclane.org,798,58528,73.34335839598998,53.0
www.ccsd.net,398,58071,145.9070351758794,11.5
www.ccisd.us,798,56678,71.02506265664161,38.0
www.hcde.org,798,56401,70.67794486215539,40.5
www.uisd.net,798,56400,70.67669172932331,32.0
www.dasd.org,402,55759,138.70398009950247,89.0
www.ocps.net,398,55733,140.03266331658293,78.0
boe.ohio.k12.wv.us,798,55407,69.43233082706767,44.0
www.dmschools.org,398,55398,139.19095477386935,89.5
www.sheldonisd.com,798,55268,69.25814536340852,40.0
mainevirtual.org,398,55248,138.8140703517588,20.0
www.linnmar.k12.ia.us,396,55068,139.06060606060606,95.0
www.redoakisd.org,798,54270,68.00751879699249,45.0
spwww.sccpss.com,398,53706,134.9396984924623,47.0
www.ccisd.net,400,53120,132.8,49.0
www.readingsd.org,598,52798,88.29096989966555,45.5
www.fortwayneschools.org,398,52731,132.48994974874373,83.5
www.mcallenisd.org,798,52448,65.72431077694236,21.0
www.joshuaisd.org,798,52433,65.70551378446115,51.0
www.leanderisd.org,798,52417,65.68546365914787,36.0
www.casdschools.org,798,52304,65.54385964912281,41.0
liberty.k12.mo.us,398,52140,131.00502512562815,76.5
www.leeschools.net,398,52056,130.79396984924622,66.0
www.colonialsd.org,798,51546,64.59398496240601,45.0
www.mcisd.net,798,50719,63.55764411027569,30.0
www.pgcps.org,398,50715,127.42462311557789,67.0
www.putnamcountyr1.net,2796,50639,18.111230329041486,6.0
caroll.com,198,50408,254.58585858585857,130.5
www.tecumseh.k12.oh.us,398,50355,126.52010050251256,99.0
www.saisd.org,400,50349,125.8725,78.5
www.kellerisd.net,401,50345,125.54862842892769,68.0
www.uek12.org,398,50054,125.76381909547739,80.0
www.egcsd.org,405,49950,123.33333333333333,99.0
www.ldisd.net,798,49786,62.388471177944865,47.0
www.nkcschools.org,398,49639,124.72110552763819,90.0
www.wilsonsd.org,398,49003,123.12311557788945,75.5
www.npenn.org,398,48890,122.8391959798995,66.0
www.olentangy.k12.oh.us,398,48854,122.74874371859296,76.0
www.binghamtonschools.org,398,48811,122.64070351758794,104.0
www.fox.k12.mo.us,398,48687,122.32914572864321,127.0
www.psdr3.org,398,48615,122.14824120603015,109.5
www.cmcss.net,403,48607,120.61290322580645,81.0
www.oxfordschools.org,398,48176,121.04522613065326,74.5
www.myfisd.com,802,48170,60.062344139650875,37.0
www.elyriaschools.org,398,47941,120.45477386934674,84.5
www.raypec.k12.mo.us,398,47372,119.0251256281407,78.0
www.mansfieldisd.org,399,47108,118.06516290726817,72.0
www.bhasd.org,943,46997,49.83775185577943,43.0
www.austinisd.org,798,46699,58.52005012531328,17.0
www.donnaisd.net,798,46330,58.05764411027569,38.0
vhs.davis.k12.ut.us,799,46275,57.91614518147684,25.0
www.yisd.net,401,45847,114.33167082294264,87.0
www.cusd.com,398,44902,112.81909547738694,80.5
www.springfieldpublicschools.com,499,44655,89.48897795591182,64.0
www.epsb.com,597,44595,74.69849246231156,39.0
www.herefordisd.net,398,44563,111.96733668341709,82.5
www.gccisd.net,402,44091,109.67910447761194,66.5
www.sbo.nn.k12.va.us,405,44080,108.8395061728395,60.0
www.hpisd.org,399,43906,110.04010025062657,65.0
www.zcisd.org,798,43809,54.8984962406015,34.0
www.sno.wednet.edu,399,43768,109.69423558897243,71.0
www.cvschools.org,406,43638,107.48275862068965,81.5
www.hampton.k12.va.us,798,43383,54.36466165413534,24.0
www.bunaisd.net,1227,43345,35.32599837000815,20.0
www.berea.k12.oh.us,398,43276,108.73366834170854,111.0
nwschools.org,796,43060,54.095477386934675,29.0
www.rcs.k12.tn.us,404,42758,105.83663366336634,46.0
www.amaisd.org,407,42698,104.9090909090909,47.0
www.terrellisd.org,798,42685,53.489974937343355,32.0
www.neshobacentral.com,610,42551,69.75573770491803,49.0
www.cmsd.k12.pa.us,411,42136,102.52068126520682,70.0
www.wisek12.org,422,42013,99.55687203791469,55.0
www.worcesterschools.org,656,41921,63.90396341463415,17.0
www.wdc2155.k12.mn.us,796,41915,52.6570351758794,36.0
www.robstownisd.org,850,41864,49.25176470588235,29.0
www.ksd.org,401,41288,102.96259351620948,75.0
www.lake.k12.fl.us,398,41274,103.7035175879397,48.5
www.pcva.us,398,41268,103.68844221105527,79.0
www.northwestschools.net,398,41160,103.41708542713567,75.5
www.mehlvilleschooldistrict.com,398,40990,102.98994974874371,61.0
www.district6.org,1242,40748,32.808373590982285,19.0
www.anchorbay.misd.net,641,40561,63.27769110764431,40.0
www.sharylandisd.org,798,40194,50.36842105263158,32.0
www.bartow.k12.ga.us,398,40188,100.9748743718593,80.0
www.girardsd.org,798,39887,49.98370927318296,40.0
www.beltonschools.org,610,39809,65.26065573770492,34.0
www.connectionsacademy.com,2184,39794,18.22069597069597,4.0
www.northmontschools.net,1631,39704,24.34334763948498,10.0
www.irvingisd.net,798,39676,49.719298245614034,31.0
www.ojrsd.com,398,39541,99.34924623115577,32.0
www.wcs.edu,398,39360,98.89447236180905,48.0
www.gpisd.org,798,39162,49.07518796992481,25.0
www.bartlettschools.org,404,38857,96.18069306930693,63.5
www.wcschools.com,405,38829,95.87407407407407,57.0
www.flourbluffschools.net,441,38449,87.1859410430839,61.0
www.hobbsschools.net,398,38381,96.43467336683418,60.0
www.emsisd.com,410,37905,92.45121951219512,51.5
www.ozark.k12.mo.us,398,37890,95.20100502512562,63.5
www.laredoisd.org,402,37881,94.23134328358209,61.0
www.avondaleschools.org,640,37853,59.1453125,62.5
www.masonohioschools.com,200,37561,187.805,147.0
clintoncardinals.org,798,37546,47.05012531328321,29.0
www.breckenridgeisd.org,3225,37260,11.553488372093023,6.0
www.centennialsd.org,798,37156,46.56140350877193,30.0
www.copley-fairlawn.org,398,36924,92.77386934673366,78.5
www.sedalia200.org,635,36830,58.0,36.0
www.utahmilitaryacademy.org,402,36788,91.51243781094527,37.0
www.cbsd.org,399,36605,91.74185463659148,52.0
www.sfdr-cisd.org,798,36572,45.82957393483709,22.5
www.d125.org,398,36546,91.82412060301507,39.0
www.tkschools.org,398,36474,91.64321608040201,88.5
www.boerneisd.net,400,36412,91.03,61.0
www.lufkinisd.org,398,36313,91.23869346733669,67.0
www.acsk-12.org,407,36261,89.0933660933661,61.0
glsd.us,409,36181,88.46210268948656,59.0
www.mckinneyisd.net,399,36137,90.56892230576442,50.0
www.evscschools.com,398,36091,90.68090452261306,40.5
www.plainlocal.org,398,35945,90.3140703517588,61.0
www.wsd.net,401,35915,89.56359102244389,64.0
www.spart6.org,202,35915,177.7970297029703,143.5
www.pearlandisd.org,399,35872,89.9047619047619,46.0
www.bay.k12.fl.us,619,35786,57.81260096930533,23.0
www.aisd.net,402,35601,88.55970149253731,52.0
bethelsd.org,401,35593,88.76059850374065,60.0
www.ketteringschools.org,398,35510,89.22110552763819,69.0
www.auburn.wednet.edu,405,35501,87.65679012345679,67.0
www.ugisd.org,798,35437,44.407268170426065,36.0
www.fortleboeuf.net,798,35340,44.285714285714285,18.0
www.cisd.org,403,35328,87.66253101736973,84.0
www.lps.org,398,35328,88.76381909547739,43.0
www.charlescityschools.org,398,35221,88.49497487437186,56.5
www.mymec.org,3349,35218,10.515974917885936,6.0
www.masonisd.net,1196,35115,29.360367892976587,12.0
www.houstonisd.org,798,35096,43.97994987468672,16.0
yorkcountyschools.org,404,35073,86.81435643564356,58.5
www.pcsb.org,796,35058,44.04271356783919,7.0
www.nhsd.net,398,34786,87.40201005025126,53.0
www.osceolaschools.net,398,34738,87.28140703517587,46.0
www.bc.k12.mi.us,619,34672,56.01292407108239,55.0
www.nice.k12.mi.us,398,34613,86.96733668341709,78.0
www.princetonisd.net,798,34441,43.159147869674186,26.0
www.piedmontschools.org,402,34386,85.53731343283582,65.0
www.tvsd.us,398,34365,86.34422110552764,56.0
www.tullahomacityschools.net,401,34239,85.38403990024938,46.0
www.hcisd.org,402,34235,85.16169154228855,50.5
www.csisd.org,408,34150,83.70098039215686,58.0
www.birdvilleschools.net,798,34066,42.689223057644114,16.0
www.plcschools.org,398,34042,85.53266331658291,66.5
www.scps.k12.fl.us,398,33848,85.04522613065326,28.0
www.nsd.org,400,33798,84.495,57.0
fieldguide.mt.gov,398,33592,84.40201005025126,53.0
www.sisd.net,398,33574,84.35678391959799,41.5
www.vviewisd.net,398,33548,84.29145728643216,68.5
www.fhsdschools.org,398,33547,84.28894472361809,44.0
www.tomballisd.net,401,33526,83.60598503740648,55.0
www.wcasd.net,398,33278,83.61306532663316,73.0
www.yukonps.com,401,33256,82.93266832917706,50.0
www3.rps205.com,398,33245,83.53015075376885,48.0
