domain,n_posts,total_engagement,median_engagement
www.cesd.us,260,3343237,10.0
www.sacaeagles.com,198,1109069,2937.0
www.kentoncounty.org,796,922592,288.0
www.pasadenaisd.org,398,398984,98.0
brighton.com,398,230368,289.0
www.east-cleveland.k12.oh.us,596,218893,162.0
www.cherokee.org,398,156270,256.5
www.sdhc.k12.fl.us,398,143726,168.0
www.uh.edu,398,143571,216.0
www.communityisd.org,798,140657,36.0
www.pasco.k12.fl.us,398,136581,217.0
www.dallasisd.org,798,132355,60.0
hn.k12.oh.us,600,127263,26.5
www.nisd.net,398,124095,223.5
www.neisd.net,798,120430,84.0
www.okhistory.org,398,115629,229.0
www.mnps.org,798,115219,82.0
www.mcpss.com,398,101024,123.0
www.rcps.info,798,88465,62.5
www.fcps.edu,405,88394,92.0
www.cfisd.net,798,86960,61.5
www.aldineisd.org,798,84663,55.5
www.leonschools.net,398,82807,76.0
www.ambridge.k12.pa.us,401,80604,7.0
www.sumnerschools.org,399,79918,109.0
www.henricoschools.us,798,78808,42.0
www.cms.k12.nc.us,398,78622,106.0
www.rsdmo.org,398,78130,130.0
www.greenville.k12.sc.us,398,77468,97.0
www.polk-fl.net,398,75435,111.5
www.killeenisd.org,798,75104,40.5
www.conroeisd.net,398,73705,63.0
www.psjaisd.us,798,71641,54.5
www.bcps.org,398,71345,122.5
www.alpineschools.org,810,69352,54.0
www.scsk12.org,798,69306,42.0
www.nisdtx.org,399,68721,70.0
romaisd.com,798,66849,45.0
www.neshaminy.k12.pa.us,398,66456,70.0
www.lfcisd.net,398,66325,104.5
www.treynorschools.org,398,66034,81.0
www.ecisd.us,798,63951,35.0
www.tacomaschools.org,398,63667,72.5
schools.nyc.gov,398,62793,87.0
www.pvsd.org,398,62170,204.0
www.mychesterfieldschools.com,798,60842,29.0
www.spring-ford.net,398,60551,95.0
www.harnett.k12.nc.us,400,59896,81.0
www.aacps.org,398,59073,56.0
www.shawnee.k12.ok.us,798,58979,71.5
www.saisd.net,798,58621,40.0
www.generalmclane.org,798,58528,53.0
www.ccsd.net,398,58071,11.5
www.ccisd.us,798,56678,38.0
www.hcde.org,798,56401,40.5
www.uisd.net,798,56400,32.0
www.dasd.org,402,55759,89.0
www.ocps.net,398,55733,78.0
boe.ohio.k12.wv.us,798,55407,44.0
www.dmschools.org,398,55398,89.5
www.sheldonisd.com,798,55268,40.0
mainevirtual.org,398,55248,20.0
www.linnmar.k12.ia.us,396,55068,95.0
www.redoakisd.org,798,54270,45.0
spwww.sccpss.com,398,53706,47.0
www.ccisd.net,400,53120,49.0
www.readingsd.org,598,52798,45.5
www.fortwayneschools.org,398,52731,83.5
www.mcallenisd.org,798,52448,21.0
www.joshuaisd.org,798,52433,51.0
www.leanderisd.org,798,52417,36.0
www.casdschools.org,798,52304,41.0
liberty.k12.mo.us,398,52140,76.5
www.leeschools.net,398,52056,66.0
www.colonialsd.org,798,51546,45.0
www.mcisd.net,798,50719,30.0
www.pgcps.org,398,50715,67.0
www.putnamcountyr1.net,2796,50639,6.0
caroll.com,198,50408,130.5
www.tecumseh.k12.oh.us,398,50355,99.0
www.saisd.org,400,50349,78.5
www.kellerisd.net,401,50345,68.0
www.uek12.org,398,50054,80.0
www.egcsd.org,405,49950,99.0
www.ldisd.net,798,49786,47.0
www.nkcschools.org,398,49639,90.0
www.wilsonsd.org,398,49003,75.5
www.npenn.org,398,48890,66.0
www.olentangy.k12.oh.us,398,48854,76.0
www.binghamtonschools.org,398,48811,104.0
www.fox.k12.mo.us,398,48687,127.0
www.psdr3.org,398,48615,109.5
www.cmcss.net,403,48607,81.0
www.oxfordschools.org,398,48176,74.5
www.myfisd.com,802,48170,37.0
www.elyriaschools.org,398,47941,84.5
www.raypec.k12.mo.us,398,47372,78.0
www.mansfieldisd.org,399,47108,72.0
www.bhasd.org,943,46997,43.0
www.austinisd.org,798,46699,17.0
www.donnaisd.net,798,46330,38.0
vhs.davis.k12.ut.us,799,46275,25.0
www.yisd.net,401,45847,87.0
www.cusd.com,398,44902,80.5
www.springfieldpublicschools.com,499,44655,64.0
www.epsb.com,597,44595,39.0
www.herefordisd.net,398,44563,82.5
www.gccisd.net,402,44091,66.5
www.sbo.nn.k12.va.us,405,44080,60.0
www.hpisd.org,399,43906,65.0
www.zcisd.org,798,43809,34.0
www.sno.wednet.edu,399,43768,71.0
www.cvschools.org,406,43638,81.5
www.hampton.k12.va.us,798,43383,24.0
www.bunaisd.net,1227,43345,20.0
www.berea.k12.oh.us,398,43276,111.0
nwschools.org,796,43060,29.0
www.rcs.k12.tn.us,404,42758,46.0
www.amaisd.org,407,42698,47.0
www.terrellisd.org,798,42685,32.0
www.neshobacentral.com,610,42551,49.0
www.cmsd.k12.pa.us,411,42136,70.0
www.wisek12.org,422,42013,55.0
www.worcesterschools.org,656,41921,17.0
www.wdc2155.k12.mn.us,796,41915,36.0
www.robstownisd.org,850,41864,29.0
www.ksd.org,401,41288,75.0
www.lake.k12.fl.us,398,41274,48.5
www.pcva.us,398,41268,79.0
www.northwestschools.net,398,41160,75.5
www.mehlvilleschooldistrict.com,398,40990,61.0
www.district6.org,1242,40748,19.0
www.anchorbay.misd.net,641,40561,40.0
www.sharylandisd.org,798,40194,32.0
www.bartow.k12.ga.us,398,40188,80.0
www.girardsd.org,798,39887,40.0
www.beltonschools.org,610,39809,34.0
www.connectionsacademy.com,2184,39794,4.0
www.northmontschools.net,1631,39704,10.0
www.irvingisd.net,798,39676,31.0
www.ojrsd.com,398,39541,32.0
www.wcs.edu,398,39360,48.0
www.gpisd.org,798,39162,25.0
www.bartlettschools.org,404,38857,63.5
www.wcschools.com,405,38829,57.0
www.flourbluffschools.net,441,38449,61.0
www.hobbsschools.net,398,38381,60.0
www.emsisd.com,410,37905,51.5
www.ozark.k12.mo.us,398,37890,63.5
www.laredoisd.org,402,37881,61.0
www.avondaleschools.org,640,37853,62.5
www.masonohioschools.com,200,37561,147.0
clintoncardinals.org,798,37546,29.0
www.breckenridgeisd.org,3225,37260,6.0
www.centennialsd.org,798,37156,30.0
www.copley-fairlawn.org,398,36924,78.5
www.sedalia200.org,635,36830,36.0
www.utahmilitaryacademy.org,402,36788,37.0
www.cbsd.org,399,36605,52.0
www.sfdr-cisd.org,798,36572,22.5
www.d125.org,398,36546,39.0
www.tkschools.org,398,36474,88.5
www.boerneisd.net,400,36412,61.0
www.lufkinisd.org,398,36313,67.0
www.acsk-12.org,407,36261,61.0
glsd.us,409,36181,59.0
www.mckinneyisd.net,399,36137,50.0
www.evscschools.com,398,36091,40.5
www.plainlocal.org,398,35945,61.0
www.spart6.org,202,35915,143.5
www.wsd.net,401,35915,64.0
www.pearlandisd.org,399,35872,46.0
www.bay.k12.fl.us,619,35786,23.0
www.aisd.net,402,35601,52.0
bethelsd.org,401,35593,60.0
www.ketteringschools.org,398,35510,69.0
www.auburn.wednet.edu,405,35501,67.0
www.ugisd.org,798,35437,36.0
www.fortleboeuf.net,798,35340,18.0
www.lps.org,398,35328,43.0
www.cisd.org,403,35328,84.0
www.charlescityschools.org,398,35221,56.5
www.mymec.org,3349,35218,6.0
www.masonisd.net,1196,35115,12.0
www.houstonisd.org,798,35096,16.0
yorkcountyschools.org,404,35073,58.5
www.pcsb.org,796,35058,7.0
www.nhsd.net,398,34786,53.0
www.osceolaschools.net,398,34738,46.0
www.bc.k12.mi.us,619,34672,55.0
www.nice.k12.mi.us,398,34613,78.0
www.princetonisd.net,798,34441,26.0
www.piedmontschools.org,402,34386,65.0
www.tvsd.us,398,34365,56.0
www.tullahomacityschools.net,401,34239,46.0
www.hcisd.org,402,34235,50.5
www.csisd.org,408,34150,58.0
www.birdvilleschools.net,798,34066,16.0
www.plcschools.org,398,34042,66.5
www.scps.k12.fl.us,398,33848,28.0
