nces_id,n_posts,total_engagement,total_likes,total_comments,total_shares,avg_engagement,median_engagement,p90_engagement,max_engagement,pct_with_image,pct_with_link,pct_with_text
2500021,398,1258,1180,62,16,3.1608040201005023,2.0,7.300000000000011,22,0.4748743718592965,0.49246231155778897,0.864321608040201
2502160,1693,17433,13800,2035,1598,10.297105729474305,6.0,25.0,310,0.5109273479031305,0.13762551683402244,0.5794447725930302
5100120,412,14174,9294,3357,1523,34.40291262135922,15.5,79.0,1306,0.3737864077669903,0.6990291262135923,0.7330097087378641
100090,200,6735,4742,850,1143,33.675,23.5,80.0,193,0.46,0.21,0.8
4400031,198,822,658,80,84,4.151515151515151,2.0,8.0,112,0.6616161616161617,0.35858585858585856,0.8888888888888888
401050,198,1424,1169,116,139,7.191919191919192,4.0,18.30000000000001,39,0.6919191919191919,0.5909090909090909,0.8282828282828283
2400090,399,27511,10232,12498,4781,68.9498746867168,18.0,160.59999999999997,2078,0.3583959899749373,0.40601503759398494,0.8696741854636592
2400120,399,71345,54832,10135,6378,178.8095238095238,121.0,382.0,1307,0.5112781954887218,0.6240601503759399,0.9598997493734336
4809360,843,24820,19654,3712,1454,29.442467378410438,16.0,75.0,1165,0.6453143534994069,0.19691577698695137,0.365361803084223
4203960,400,21788,19182,2028,578,54.47,27.0,129.4000000000001,701,0.67,0.3025,0.72
3605220,198,3441,2930,448,63,17.37878787878788,11.0,40.30000000000001,160,0.3434343434343434,0.21717171717171718,0.9494949494949495
4700330,401,20183,15255,3492,1436,50.33167082294264,28.0,124.0,694,0.6408977556109726,0.286783042394015,0.9177057356608479
3600012,200,6911,5910,636,365,34.555,21.5,83.29999999999998,219,0.45,0.255,0.805
3604200,199,3676,3078,282,316,18.472361809045225,8.0,42.0,167,0.5376884422110553,0.33668341708542715,0.8341708542713567
607500,199,3455,2866,299,290,17.36180904522613,12.0,36.0,152,0.46733668341708545,0.6130653266331658,0.8241206030150754
2400180,420,14658,10083,1186,3389,34.9,18.0,85.10000000000002,427,0.4357142857142857,0.4380952380952381,0.6595238095238095
3400034,498,19220,16597,993,1630,38.59437751004016,3.0,77.60000000000002,1727,0.41967871485943775,0.6546184738955824,0.8654618473895582
2708220,198,11436,10014,1139,283,57.75757575757576,45.0,127.0,243,0.5707070707070707,0.21212121212121213,0.7828282828282829
2600151,406,12882,9413,3234,235,31.72906403940887,18.0,78.0,127,0.5147783251231527,0.18226600985221675,0.7660098522167488
4007350,403,16882,14786,1366,730,41.89081885856079,29.0,93.80000000000001,219,0.43672456575682383,0.10173697270471464,0.630272952853598
4103480,406,11612,10266,771,575,28.600985221674875,17.0,68.0,174,0.4014778325123153,0.3669950738916256,0.6551724137931034
607680,66,368,292,38,38,5.575757575757576,3.0,15.5,34,0.5303030303030303,0.18181818181818182,0.7575757575757576
101020,198,9896,7950,896,1050,49.97979797979798,33.0,86.30000000000001,722,0.8686868686868687,0.09090909090909091,0.9040404040404041
4400270,199,9713,8203,1027,483,48.80904522613066,29.0,137.60000000000005,252,0.7688442211055276,0.1407035175879397,0.9447236180904522
2101410,200,257,229,11,17,1.285,1.0,4.0,9,0.215,0.9,0.625
4010500,198,4684,3909,587,188,23.656565656565657,15.5,54.30000000000001,129,0.3888888888888889,0.12121212121212122,0.6565656565656566
3404110,198,11588,10270,1029,289,58.525252525252526,39.5,122.30000000000001,376,0.29292929292929293,0.47474747474747475,0.8939393939393939
3904390,596,218893,166858,43674,8361,367.27013422818794,162.0,946.5,4809,0.31208053691275167,0.46308724832214765,0.9865771812080537
4208790,398,1810,1511,66,233,4.547738693467337,1.0,12.300000000000011,93,0.002512562814070352,0.9824120603015075,0.8994974874371859
1803090,199,8438,7034,828,576,42.402010050251256,31.0,91.60000000000005,242,0.39195979899497485,0.2864321608040201,0.8492462311557789
