domain,n_posts,total_engagement,median_engagement
www.mymec.org,3349,35218,6.0
www.breckenridgeisd.org,3225,37260,6.0
www.putnamcountyr1.net,2796,50639,6.0
kingdomeast.org,2243,11307,1.0
www.connectionsacademy.com,2184,39794,4.0
www.nhaschools.com,2002,21815,4.0
www.bosquevilleisd.org,1996,22818,5.0
www.hpsvikings.org,1795,16714,4.0
www.vcsc.k12.in.us,1701,24675,6.0
www.pilotpointisd.com,1663,24105,8.0
www.arrsd.org,1641,17433,6.0
www.northmontschools.net,1631,39704,10.0
www.hillsboroisd.org,1602,14489,4.0
www.felicityschools.org,1519,19295,7.0
www.woisd.net,1502,21927,6.0
www.gm.k12.mn.us,1480,25886,10.0
www.jgsc.k12.in.us,1458,22648,8.0
www.usd382.com,1406,26630,8.0
www.plymouth.k12.wi.us,1306,30130,8.0
www.faithfamilyacademy.org,1254,3107,0.0
www.ocosta.k12.wa.us,1252,16922,4.0
www.district6.org,1242,40748,19.0
www.bunaisd.net,1227,43345,20.0
www.rsu24.org,1222,19353,8.0
www.providencehall.com,1208,10090,4.0
sau3.org,1201,21789,11.0
www.menardisd.net,1201,18764,8.0
www.irion-isd.org,1199,24277,13.0
www.hico-isd.net,1198,6922,3.0
forsan.esc18.net,1197,11954,5.0
www.k12.com,1197,3533,1.0
www.masonisd.net,1196,35115,12.0
wheelercountyschools.org,1194,15268,6.0
www.gugcs.org,1194,3419,1.0
www.whitehallcoplay.org,1106,15655,10.0
www.riddle.k12.or.us,1042,8513,5.0
www.usd452.org,1025,12916,7.0
www.mypagosaschools.com,1006,13065,8.0
www.allentownsd.org,1003,15213,5.0
www.evbears.com,1002,9450,4.0
www.priorlake-savage.k12.mn.us,1001,22240,6.0
www.oakland5.org,997,21753,14.0
ccs135.com,996,15064,10.0
www.ulysses.org,994,13353,9.0
www.wcusd15.org,994,25094,14.0
junctioncity.k12.ar.us,993,10857,5.0
www.hatfieldps.net,991,5178,2.0
www.westbathschool.org,978,6535,4.0
www.pleasantgroveschools.com,969,5490,3.0
lcsd2.org,963,12514,4.0
www.spectrumcharter.org,954,13038,6.0
www.bhasd.org,943,46997,43.0
www.sigourneyschools.com,940,21903,13.0
www.spssailors.org,890,9019,4.0
www.olneyisd.net,882,8445,5.0
www.troupisd.org,875,7986,5.0
www.mtsd-vt.org,871,9282,5.0
www.hiawathaschools.org,854,16885,5.0
www.usd247.com,851,12168,6.0
www.gwinn.k12.mi.us,851,7311,2.0
www.robstownisd.org,850,41864,29.0
www.isd381.k12.mn.us,841,5811,2.0
www.pierre.k12.sd.us,838,8347,5.0
www.rogersisd.org,837,13074,7.0
www.ph.k12.in.us,835,16222,12.0
www.mildredisd.org,835,11491,6.0
www.shisd.net,834,18340,6.0
www.haworth.k12.ok.us,830,9344,6.0
www.dfsd.org,820,13627,9.0
www.kingfisher.k12.ok.us,820,24758,14.0
www.claibornepsb.org,819,15298,11.0
www.stanton.esc18.net,818,9912,7.0
www.howeisd.net,816,14650,7.0
www.poolville.net,816,11994,9.0
www.mcloudschools.us,812,18099,9.5
www.hawkinsisd.org,811,19106,19.0
www.alpineschools.org,810,69352,54.0
www.hocksd.org,808,28576,29.0
www.sscisd.net,806,12954,8.0
www.spurbulldogs.com,806,11557,5.0
www.mrhschools.net,805,12764,8.0
www.echo.k12.or.us,804,15600,10.0
www.marcola.k12.or.us,804,11970,11.0
www.rockspringsisd.net,804,11548,6.5
www.stevensvilleschools.org,804,8283,5.0
www.vegalonghorn.com,802,30303,28.0
www.myfisd.com,802,48170,37.0
www.meade.k12.sd.us,801,24343,18.0
www.stamfordpublicschools.org,801,5233,3.0
www.stilwellk12.org,800,13213,12.0
www.ogilvie.k12.mn.us,799,12463,6.0
www.lanseschools.org,799,10738,5.0
vhs.davis.k12.ut.us,799,46275,25.0
www.laferiaisd.org,798,24878,17.0
www.palestineschools.org,798,30405,22.0
www.houstonisd.org,798,35096,16.0
www.cheltenham.org,798,29727,18.0
www.floydadaisd.esc17.net,798,29550,29.0
www.unionps.org,798,29135,15.0
www.desotoisd.org,798,29021,14.0
www.galenaparkisd.com,798,28864,17.0
www.girardsd.org,798,39887,40.0
www.capital.k12.de.us,798,25926,21.0
www.murrayschools.org,798,28383,25.5
www.lawtonps.org,798,28178,19.0
www.casdschools.org,798,52304,41.0
www.luling.txed.net,798,27618,25.0
www.seguin.k12.tx.us,798,27454,15.0
www.hcsd.iu5.org,798,27372,21.0
www.neisd.net,798,120430,84.0
www.puyallup.k12.wa.us,798,22177,16.0
www.navasotaisd.org,798,22011,15.0
www.ccisd.us,798,56678,38.0
www.mnps.org,798,115219,82.0
www.lancasterisd.org,798,21646,10.0
www.chisd.net,798,21597,13.0
longviewschools.com,798,20651,15.0
www.brunswickcps.org,798,20573,12.0
www.btcs.org,798,20534,13.0
www.windthorstisd.net,798,22991,18.0
www.ccisdtx.com,798,22781,18.0
www.cplc.org,798,26786,17.0
www.eeisd.org,798,19238,13.0
www.sharylandisd.org,798,40194,32.0
www.leanderisd.org,798,52417,36.0
www.premontisd.net,798,19095,14.0
romaisd.com,798,66849,45.0
www.lovejoyisd.net,798,18358,11.5
www.generalmclane.org,798,58528,53.0
www.celinaschools.org,798,31622,25.0
www.rcsd.ms,798,17955,11.0
www.bisdtx.org,798,17311,4.0
www.caywood.org,798,16982,12.0
www.redoakisd.org,798,54270,45.0
www.ldisd.net,798,49786,47.0
www.sau43.org,798,16101,13.0
www.centennialsd.org,798,37156,30.0
www.cucps.k12.va.us,798,15590,12.0
www.zcisd.org,798,43809,34.0
www.communityisd.org,798,140657,36.0
www.athenscityschools.net,798,15128,10.0
www.rcps.info,798,88465,62.5
www.hermiston.k12.or.us,798,26742,17.0
www.ee-schools.org,798,22612,19.0
www.donnaisd.net,798,46330,38.0
www.cfisd.net,798,86960,61.5
www.lwsd.org,798,32890,18.0
www.brooksacademy.org,798,13162,11.0
www.mcisd.net,798,50719,30.0
www.dallasisd.org,798,132355,60.0
www.saisd.net,798,58621,40.0
www.irvingisd.net,798,39676,31.0
www.celinaisd.com,798,12904,8.5
clintoncardinals.org,798,37546,29.0
imaginenorthtexas.org,798,12702,12.0
rallsisd.org,798,26685,22.0
www.scsk12.org,798,69306,42.0
www.ccps.us,798,30926,22.0
heavenerschools.org,798,12262,11.0
www.mcallenisd.org,798,52448,21.0
wjccschools.org,798,12080,3.0
www.terrellisd.org,798,42685,32.0
www.sfdr-cisd.org,798,36572,22.5
www.ttsdschools.org,798,5745,3.0
www.gpisd.org,798,39162,25.0
www.ugisd.org,798,35437,36.0
www.shawnee.k12.ok.us,798,58979,71.5
www.frsd.k12.nj.us,798,11002,7.0
www.henricoschools.us,798,78808,42.0
