nces_id,ts,month,likes_n,comments_n,shares_n,engagement_n,domain,post_text,comment_like_ratio
1920460,2020-04-10 12:38:16,2020-04-01,1,13,0,14,www.new-london.k12.ia.us,"We have a family with children in our district who lost their home to a fire last night and they lost everything. They are in need of clothes and other essentials. If you want to donate to the family, you can drop items off at the district office any time today or during the parade tonight. Here are the sizes of clothing that they would need:

Male: Mens shirt size XXL and pant size 40
Female: Women's shirt size 2XXL/size 18/20, shoe size 11, and pant size 18/20
Girl teenager: Shirt size women's Large, shoe size 9, pant size 14
Boy youth: Shirt size youth Large/ size 18, shoe size youth 8, pant size 18 youth
Infant girl: 24 months

#NLTigerPride",13.0
2004410,2020-07-08 21:04:06,2020-07-01,12,235,0,247,www.caney.com,Seniors of the 2020 Class will have a chance at amazing prizes from the After Prom!,19.583333333333332
3904749,2020-08-29 12:07:40,2020-08-01,5,111,0,116,hn.k12.oh.us,NA,22.2
3904749,2020-08-29 10:42:08,2020-08-01,3,35,0,38,hn.k12.oh.us,NA,11.666666666666666
2200039,2020-08-06 18:43:02,2020-08-01,112,1606,103,1821,zacharyschools.org,NA,14.339285714285714
4002790,2020-04-21 08:12:35,2020-04-01,1,17,0,18,www.allenbowden.k12.ok.us,"Tuesday - Filter Day: Snap and share a picture using your favorite photo filter! Post it in the comments! #saycheese 👀📸🙃🙂",17.0
4002790,2020-04-20 14:26:24,2020-04-01,1,13,0,14,www.allenbowden.k12.ok.us,"Monday - Book Day: Snap and share a picture holding your favorite book or the book you’re currently reading! Post it in the comments! #readersareleaders 📚📖🤓🤗",13.0
5100120,2020-07-22 06:45:06,2020-07-01,6,85,2,93,www.acps.k12.va.us,"ACPS Express, July 22, 2020: Reopening Planning Update: Scheduling Work and Survey Results • Virginia Board of Education Public Meetings July 22-23 • More than $500k in Scholarships Awarded to T.C. Class of 2020 • George Mason Principal Selected • Summer Learning in the News",14.166666666666666
400112,2020-04-27 15:28:03,2020-04-01,4,256,4,264,www.alaschools.org,Disney Movie Trivia with Mrs. Hales!,64.0
400112,2020-04-21 14:14:06,2020-04-01,1,26,0,27,www.alaschools.org,Positive vibes (or quotes) only below! ⤵️ 😁,26.0
400819,2019-09-12 14:21:26,2019-09-01,2,31,0,33,anthemprep.greatheartsamerica.org,"We need your help, Anthem Prep | Archway Anthem Community! What should we name our upcoming fall event being held on Saturday, October 26 from 4:30 - 7:00 PM? We will be inviting students/families to RSVP for a space in the parking lot for our Trunk or Treat, there will be food trucks, and there will be tons of fun for everyone who comes! This post will be open until next Tuesday, September 24. Write the number corresponding to your choice in the comments below!

1. All Tricks, No Treats?
2. Carstivle (edited to the correct name option)
3. Autumnmobiles
4. Parking Lot Party",15.5
2903120,2020-03-25 19:49:52,2020-03-01,16,239,3,258,appletoncity.k12.mo.us,NA,14.9375
2903120,2020-03-05 19:01:28,2020-03-01,4,62,3,69,appletoncity.k12.mo.us,NA,15.5
2903120,2020-03-09 13:05:08,2020-03-01,2,47,0,49,appletoncity.k12.mo.us,"Time to work on the Elementary Yearbook!

Parents, if you have photos of sporting events, field trips, fun days, etc... please send them our way. Include them here in the comments or message them to the school page.

THANKS for your help!",23.5
4808520,2020-04-22 08:49:58,2020-04-01,5,92,0,97,www.aquillaisd.net,NA,18.4
4808520,2020-04-16 08:32:55,2020-04-01,7,163,0,170,www.aquillaisd.net,NA,23.285714285714285
4808520,2020-04-15 08:42:39,2020-04-01,3,80,0,83,www.aquillaisd.net,NA,26.666666666666668
400930,2020-05-21 11:30:23,2020-05-01,54,659,2,715,archwaytriviumeast.greatheartsamerica.org,NA,12.203703703703704
3603240,2020-08-11 08:19:50,2020-08-01,13,161,9,183,www.arkportcsd.org,Join the administration of Arkport CSD for an interactive conversation about the district's reopening plan.,12.384615384615385
4603780,2020-02-25 11:29:42,2020-02-01,1,12,0,13,www.armour.k12.sd.us,Vote for your favorite elementary concert time. I can only do two poll options. Comment below if you would rather see a 7pm concert. The Elementary concert will be April 24th.,12.0
3900223,2020-04-30 12:00:08,2020-04-01,10,164,24,198,artcollegeprep.org,Join us at noon today for the next installment of the Deeper Connection Series with Candice Igeleke,16.4
2502160,2020-03-13 15:44:41,2020-03-01,3,41,0,44,www.arrsd.org,NA,13.666666666666666
802340,2020-04-25 21:30:08,2020-04-01,42,886,153,1081,aurorak12.org,"Live stream is down #Sorry",21.095238095238095
4808940,2020-09-14 18:30:30,2020-09-01,26,426,39,491,www.austinisd.org,"Board Information Session begins at 5:30 p.m. Watch the full broadcast beginning at 5:30 p.m. on Facebook Live, https://www.austinisd.org/aisdtv, Channel 22 on Spectrum (Time Warner Cable), Grande, Google Fiber TV, and AT&T U-verse (Ch. 99).

Please note, these comments are not monitored. So that we can be sure your question gets to the right person and is answered as quickly as possible, please visit the district's Let's Talk page: https://www.austinisd.org/letstalk.",16.384615384615383
4808940,2020-08-24 18:30:27,2020-08-01,27,355,7,389,www.austinisd.org,"Board Regular Voting Meeting begins at 5:30 p.m.

Watch the full broadcast on Facebook Live, https://www.austinisd.org/aisdtv, Channel 22 on Spectrum (Time Warner Cable), Grande, Google Fiber TV, and AT&T U-verse (Ch. 99).

Please note, these comments are not monitored. So that we can be sure your question gets to the right person and is answered as quickly as possible, please visit the district's Let's Talk page: https://www.austinisd.org/letstalk.",13.148148148148149
4808940,2020-08-10 18:30:28,2020-08-01,38,575,27,640,www.austinisd.org,"Board Information Session begins at 5:30 p.m. Watch the full broadcast beginning at 5:30 p.m. on Facebook Live, https://www.austinisd.org/aisdtv, Channel 22 on Spectrum (Time Warner Cable), Grande, Google Fiber TV, and AT&T U-verse (Ch. 99).

Please note, these comments are not monitored. So that we can be sure your question gets to the right person and is answered as quickly as possible, please visit the district's Let's Talk page: https://www.austinisd.org/letstalk.",15.131578947368421
4808940,2020-08-06 22:00:32,2020-08-01,204,3247,99,3550,www.austinisd.org,"This meeting is also available live at https://www.austinisd.org/aisdtv, Channel 22 on Spectrum (Time Warner Cable), Grande, Google Fiber TV, and AT&T U-verse (Ch. 99).

Please note, these comments are not monitored. So that we can be sure your question gets to the right person and is answered as quickly as possible, please visit the district's Let's Talk page: https://www.austinisd.org/letstalk.",15.916666666666666
4808940,2020-07-23 13:00:26,2020-07-01,76,908,57,1041,www.austinisd.org,"The Austin ISD will have a virtual briefing to give students, families and staff a better idea of what their back to school will be like. Participants will take a look at ′′a day in the life′′ of distance learning at home and in-person learning on the staff.

We invite our AISD learning communities to join us for this conversation.

If this stream is unavailable, watch live on cable channel 22 or AISD.TV.

Topic: Personal teaching and learning on the staff and safety protocols
Thursday, July 23, noon-1:30 pm.",11.947368421052632
4808940,2020-06-16 19:00:28,2020-06-01,64,1060,112,1236,www.austinisd.org,"Travis ECHS Virtual Graduation

Austin ISD is proud to offer streaming of Virtual Graduations via Facebook Live as a service to our community. If this stream is ever unavailable, please visit AISD.TV or Channel 22 for the official live broadcast of the ceremony.",16.5625
4808940,2020-06-16 16:00:28,2020-06-01,44,613,79,736,www.austinisd.org,"Austin ISD is proud to offer streaming of Virtual Graduations via Facebook Live as a service to our community. If this stream is ever unavailable, please visit AISD.TV or Channel 22 for the official live broadcast of the virtual graduation.",13.931818181818182
4808940,2020-06-16 14:30:28,2020-06-01,55,643,77,775,www.austinisd.org,"Austin ISD is proud to offer streaming of Virtual Graduations via Facebook Live as a service to our community. If this stream is ever unavailable, please visit AISD.TV or Channel 22 for the official live broadcast of the virtual graduation.",11.690909090909091
4808940,2020-04-27 18:50:04,2020-04-01,26,319,13,358,www.austinisd.org,"Watch the full broadcast on AISD.TV and Cable Channel 22 in Austin.
**********************************
Please note, these comments are not monitored. So that we can be sure your question gets to the right person and is answered as quickly as possible, please visit the district's Learning at Home/COVID-19 Let's Talk page: https://www.austinisd.org/letstalk.
Many answers are also available on the Frequently Asked Questions section of the district's COVID-19 webpage: https://www.austinisd.org/covid19/faq.
This situation is continuously changing. Every day brings new information and new considerations for how to best approach educating our students. We know the uncertainty is difficult and we are working hard to share information as we are able to. Thank you for your patience and support as we work together to offer online instruction and feed our students while doing our best to keep our amazing staff, students and families safe and healthy.",12.26923076923077
4808940,2020-01-28 17:35:27,2020-01-01,4,46,0,50,www.austinisd.org,"For #NationalSchoolChoiceWeek, we're highlighting our Early College High School Program, which offers students the chance to graduate simultaneously with a high school diploma and an associate degree—all for free! We partner with Austin Community College to operate seven AISD ECHS campuses: Akins, Crockett, Eastside Memorial, Navarro, LBJ, Travis and Northeast.

¡Nuestro programa de Escuela Preparatoria de Universidad Temprana (ECHS, por sus siglas en inglés) les ofrece a los estudiantes la oportunidad de graduarse simultáneamente con un diploma de preparatoria y con un título técnico superior, completamente gratis! Trabajamos en colaboración con el Austin Community College para operar siete planteles con ECHS del AISD: Akins, Crockett, Eastside Memorial, Navarro, LBJ, Travis y Northeast.

Learn more / Aprende más: www.austinisd.org/school-choice/echs #ChooseAISD #AISDProud #AISDGameChangers",11.5
4808940,2019-11-18 19:00:51,2019-11-01,44,1349,43,1436,www.austinisd.org,"Live coverage of November 18, 2019 Regular Voting Meeting. Broadcast begins at 6:00 p.m. on AISD.TV and Facebook Live stream.",30.65909090909091
2400090,2020-07-16 12:57:27,2020-07-01,71,1809,198,2078,www.baltimorecityschools.org,Reopening Town Hall,25.47887323943662
2400090,2020-07-09 12:58:34,2020-07-01,98,1334,346,1778,www.baltimorecityschools.org,Reopening Town Hall,13.612244897959183
2400090,2020-06-11 15:30:46,2020-06-01,22,357,18,397,www.baltimorecityschools.org,"Watch the virtual graduation ceremony for the Class of 2020 from The Reach! Partnership School. Student performances, speeches, reading of the names, and confirmation of the diplomas. Congratulations!",16.227272727272727
3103440,2020-03-10 10:40:24,2020-03-01,1,13,0,14,www.bancroft-rosalie.org,"We have a few GBB state shirts for sale.

Tees: 1 youth large, 1 medium, 3 large, 2 XL ($12)
long-sleeve: 1 2X ($19)
hoodies: 1 2X, 1 3X ($29)",13.0
400190,2020-08-25 07:47:56,2020-08-01,2,24,0,26,lib.humboldtunified.com,"Happy Tuesday! 🎉
Share your pics with us. 😁",12.0
400190,2020-08-24 07:50:09,2020-08-01,3,38,0,41,lib.humboldtunified.com,"IT’S SPIRIT WEEK 🦅
Show us your crazy hair and fun hats!",12.666666666666666
3617220,2020-09-10 16:26:25,2020-09-01,1,15,84,100,www.libertyk12.org,"Please see the district website for an important message from the superintendent.
https://www.libertyk12.org/covid-19-notification-visitor-to-elementary-school-has-tested-positive/",15.0
2601096,2020-05-28 16:00:38,2020-05-01,1,28,0,29,www.lightoftheworldacademy.org,NA,28.0
2601096,2020-05-26 16:00:04,2020-05-01,3,36,0,39,www.lightoftheworldacademy.org,NA,12.0
2601096,2020-05-04 15:59:24,2020-05-01,6,167,0,173,www.lightoftheworldacademy.org,Miss Amanda part 1,27.833333333333332
2601096,2020-04-27 15:59:48,2020-04-01,10,260,0,270,www.lightoftheworldacademy.org,NA,26.0
2601096,2020-04-20 15:59:47,2020-04-01,15,170,0,185,www.lightoftheworldacademy.org,NA,11.333333333333334
2601096,2020-04-16 16:00:08,2020-04-01,8,152,0,160,www.lightoftheworldacademy.org,NA,19.0
2601096,2020-04-13 15:59:29,2020-04-01,14,302,0,316,www.lightoftheworldacademy.org,NA,21.571428571428573
2601096,2020-04-01 15:57:54,2020-04-01,6,83,0,89,www.lightoftheworldacademy.org,Miss Kathy live!,13.833333333333334
2601096,2020-03-23 16:02:13,2020-03-01,8,95,0,103,www.lightoftheworldacademy.org,NA,11.875
1723050,2020-08-12 19:56:27,2020-08-01,4,67,3,74,lcsd2.org,"With tonight's live broadcast of our board meeting, if you choose to post a question on our live Facebook feed, please be aware it may be missed. We would ask that if you have a specific question to please email them to awelch@lcsd2.org. We cannot monitor the Facebook posts as carefully as we'd like during the meeting. All emails will be responded to in a timely manner",16.75
