month,n_posts,total_engagement,median_engagement
2008-09-01,1,0,0.0
2009-07-01,10,7,0.0
2009-08-01,23,34,1.0
2009-09-01,56,195,2.0
2009-10-01,17,121,4.0
2009-11-01,13,42,2.0
2009-12-01,5,8,2.0
2010-01-01,13,23,1.0
2010-02-01,8,12,1.0
2010-03-01,12,33,2.5
2010-04-01,12,30,1.5
2010-05-01,9,49,4.0
2010-06-01,8,8,1.0
2010-07-01,9,33,1.0
2010-08-01,6,7,1.0
2010-09-01,18,27,1.0
2010-10-01,23,45,0.0
2010-11-01,24,61,1.0
2010-12-01,13,32,1.0
2011-01-01,18,61,2.5
2011-02-01,15,70,3.0
2011-03-01,40,161,3.5
2011-04-01,32,110,3.0
2011-05-01,13,85,6.0
2011-06-01,4,23,5.0
2011-07-01,38,38,1.0
2011-08-01,49,87,1.0
2011-09-01,61,131,0.0
2011-10-01,81,351,2.0
2011-11-01,96,243,1.0
2011-12-01,40,112,1.0
2012-01-01,52,230,1.0
2012-02-01,102,400,1.5
2012-03-01,247,357,0.0
2012-04-01,110,383,2.0
2012-05-01,129,519,2.0
2012-06-01,64,362,3.0
2012-07-01,63,223,1.0
2012-08-01,126,499,2.0
2012-09-01,173,545,2.0
2012-10-01,176,673,1.5
2012-11-01,201,945,1.0
2012-12-01,200,914,2.0
2013-01-01,204,1675,2.0
2013-02-01,271,2744,3.0
2013-03-01,267,3164,3.0
2013-04-01,271,2535,2.0
2013-05-01,385,2419,3.0
2013-06-01,160,2100,5.0
2013-07-01,187,1527,2.0
2013-08-01,307,2224,3.0
2013-09-01,328,2851,4.0
2013-10-01,394,4646,4.0
2013-11-01,324,4472,6.0
2013-12-01,381,4755,5.0
2014-01-01,408,4183,4.0
2014-02-01,584,5023,3.0
2014-03-01,498,5916,5.0
2014-04-01,471,5250,4.0
2014-05-01,513,7458,5.0
2014-06-01,352,4484,3.0
2014-07-01,239,2687,3.0
2014-08-01,439,5927,4.0
2014-09-01,619,7320,5.0
2014-10-01,748,8293,4.0
2014-11-01,615,8110,5.0
2014-12-01,585,5359,4.0
2015-01-01,697,6767,4.0
2015-02-01,1057,12486,5.0
2015-03-01,1171,16249,5.0
2015-04-01,935,12765,5.0
2015-05-01,1148,14939,5.0
2015-06-01,636,8972,6.0
2015-07-01,539,6211,5.0
2015-08-01,808,8679,4.0
2015-09-01,1122,12819,4.0
2015-10-01,1305,15261,4.0
2015-11-01,1074,12997,4.0
2015-12-01,853,9578,3.0
2016-01-01,1182,14224,3.0
2016-02-01,1634,24636,4.5
2016-03-01,1638,21672,5.0
2016-04-01,1627,20974,4.0
2016-05-01,1895,26724,5.0
2016-06-01,1115,24740,6.0
2016-07-01,823,10854,4.0
2016-08-01,1605,23463,5.0
2016-09-01,2101,24410,5.0
2016-10-01,2419,27499,5.0
2016-11-01,2198,33414,5.0
2016-12-01,1818,22958,5.0
2017-01-01,2632,30853,4.0
2017-02-01,2855,36426,5.0
2017-03-01,3452,45503,4.0
2017-04-01,3128,38471,4.0
2017-05-01,3980,57640,6.0
2017-06-01,2321,41271,6.0
2017-07-01,1665,24360,5.0
2017-08-01,3524,64263,7.0
2017-09-01,4278,73196,6.0
2017-10-01,4922,68151,6.0
2017-11-01,4448,57412,5.0
2017-12-01,3810,49148,4.0
2018-01-01,5841,80874,5.0
2018-02-01,6403,82668,5.0
2018-03-01,7237,121613,6.0
2018-04-01,6848,119646,6.0
2018-05-01,8612,159564,7.0
2018-06-01,4329,90749,7.0
2018-07-01,3627,59835,6.0
2018-08-01,7377,139407,7.0
2018-09-01,8974,170740,7.0
2018-10-01,11570,234806,7.0
2018-11-01,11255,227465,8.0
2018-12-01,9095,205794,9.0
2019-01-01,13587,283610,8.0
2019-02-01,18048,408814,9.0
2019-03-01,17918,462298,10.0
2019-04-01,19516,495303,10.0
2019-05-01,26539,834606,14.0
2019-06-01,14948,506108,14.0
2019-07-01,12896,337514,10.0
2019-08-01,26010,842902,14.0
2019-09-01,37000,1060045,13.0
2019-10-01,59114,1629249,13.0
2019-11-01,63161,1990159,15.0
2019-12-01,67414,1892672,14.0
2020-01-01,95751,2591303,11.0
2020-02-01,141019,4243053,13.0
2020-03-01,209637,8248318,14.0
2020-04-01,207784,9012186,17.0
2020-05-01,225150,10615089,20.0
2020-06-01,126317,5346800,16.0
2020-07-01,97872,4376476,14.0
2020-08-01,143039,5144302,13.0
2020-09-01,99127,2523196,6.0
